         10857816 function calls (10158985 primitive calls) in 16.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      116    0.007    0.000    0.489    0.004 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\rewrites\registry.py:54(apply)
      942    0.007    0.000    0.012    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:513(fold_arg_vars)
     3063    0.007    0.000    0.012    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\functions.py:78(add_error)
      115    0.007    0.000    0.292    0.003 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\codegen.py:651(_optimize_functions)
     1897    0.007    0.000    0.026    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:205(descr)
     7693    0.007    0.000    0.009    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1100(__init__)
     1500    0.007    0.000    0.499    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\typeof.py:27(typeof)
     4057    0.007    0.000    0.101    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:1104(__init__)
     1627    0.007    0.000    0.025    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:555(descr)
     6948    0.007    0.000    0.018    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeconv\typeconv.py:40(check_compatible)
     5171    0.007    0.000    0.117    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\value.py:157(name)
      528    0.007    0.000    0.502    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\postproc.py:71(run)
    12362    0.007    0.000    0.007    0.000 {method 'encode' of 'str' objects}
    30726    0.007    0.000    0.007    0.000 {method 'release' of '_thread.RLock' objects}
    26025    0.007    0.000    0.008    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\_utils.py:71(_stringify_metadata)
 2046/358    0.007    0.000   16.418    0.046 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
     1627    0.007    0.000    0.021    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:533(__init__)
     3462    0.006    0.000    0.037    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\builder.py:756(load)
    28440    0.006    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\ffi.py:134(__getattr__)
     1691    0.006    0.000    0.029    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:589(__repr__)
4237/2725    0.006    0.000    0.401    0.000 C:\Users\viola\miniconda3\Lib\functools.py:979(__get__)
     2939    0.006    0.000    0.031    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:1123(__str__)
     2413    0.006    0.000    0.012    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\numpy_support.py:125(as_dtype)
      132    0.006    0.000    0.009    0.000 {built-in method _io.open}
     3462    0.006    0.000    0.019    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:439(descr)
8594/8585    0.006    0.000    0.029    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:561(can_convert)
     1700    0.006    0.000    0.021    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\interpreter.py:1832(store)
     4501    0.006    0.000    0.096    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\value.py:220(is_declaration)
     4109    0.006    0.000    0.024    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\abstract.py:49(_intern)
